               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.020795,            0.015591,                   0,             0.84904,             0.73218,             0.80799,             0.64537,            0.034314,            0.017956,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.020988,            0.015235,                   0,             0.84973,             0.73964,             0.80891,             0.64418,            0.035252,            0.018003,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.021205,            0.014802,                   0,             0.90075,             0.69809,             0.80057,             0.64106,             0.03528,            0.017801,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.020888,            0.014953,                   0,             0.88997,             0.71789,             0.80368,             0.64495,            0.035838,            0.017949,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.020506,            0.015509,                   0,             0.89967,             0.76331,             0.82989,             0.66448,            0.035166,            0.016921,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.020952,            0.015578,                   0,             0.88548,             0.72189,             0.78395,             0.62551,            0.034663,            0.017406,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.01973,            0.015052,                   0,             0.84212,             0.75748,             0.82351,             0.66176,            0.035799,            0.016984,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.020643,            0.014935,                   0,             0.87429,             0.78698,             0.82577,             0.66878,            0.035047,            0.015392,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.021278,            0.014536,                   0,              0.8777,              0.7574,             0.80992,             0.64452,            0.034131,            0.015658,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.020834,             0.01564,                   0,             0.86814,             0.81065,             0.85212,             0.68274,            0.033257,            0.015156,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.020689,            0.015147,                   0,             0.87308,             0.69194,             0.81192,             0.64296,            0.035054,            0.019402,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.020583,             0.01523,                   0,             0.84597,              0.7929,             0.78934,             0.62391,            0.033567,            0.017289,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.020224,            0.014271,                   0,             0.87203,             0.71006,             0.79132,             0.64198,            0.035449,            0.019328,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.020222,            0.015227,                   0,             0.85952,             0.72189,              0.8092,             0.65218,            0.033442,            0.016894,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.020962,            0.014367,                   0,             0.87761,             0.73373,             0.82182,             0.66076,            0.033373,            0.015912,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.020471,            0.015044,                   0,             0.84118,             0.75148,             0.80435,             0.66841,            0.032209,             0.01603,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.019683,            0.014616,                   0,             0.85805,             0.76923,             0.83081,             0.68131,            0.032879,            0.016292,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.020461,            0.014499,                   0,               0.845,             0.76923,             0.82891,             0.67379,            0.033862,            0.016258,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.020538,            0.014659,                   0,             0.82947,              0.7929,             0.82448,             0.66178,            0.033707,            0.015864,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.01989,            0.014563,                   0,              0.8555,             0.73964,             0.82369,             0.66074,             0.03299,            0.017133,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.019813,            0.014684,                   0,             0.82264,             0.75148,             0.81233,             0.65392,            0.033648,            0.018398,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.019241,            0.014006,                   0,             0.86622,             0.80473,             0.83049,             0.68486,            0.032767,             0.01601,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.019978,            0.014295,                   0,             0.84382,             0.77515,             0.82964,             0.67937,            0.033224,            0.016654,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.020165,             0.01419,                   0,             0.88012,             0.71006,             0.81898,             0.67126,            0.032279,            0.017956,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.019229,            0.014314,                   0,             0.85311,             0.76331,             0.79756,              0.6395,            0.033248,            0.017216,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.019255,            0.014278,                   0,             0.84151,             0.75401,             0.79422,              0.6427,            0.033924,            0.017191,                   0,            0.006205,            0.006205,            0.006205
